cover,quality,bit_errors,failed_bit_positions,failed_bit_block_pair,blocks_with_error,total_payload_blocks,error_block_coordinates
arsenal/preview.jpg,95,0,,,0,128,
arsenal/preview.jpg,90,0,,,0,128,
arsenal/preview.jpg,80,0,,,0,128,
arsenal/preview.jpg,70,1,225,"225:(r0,c56,pair1)",1,128,"(r0,c56)"
arsenal/preview.jpg,60,10,59;135;235;365;411;443;463;483;487;511,"59:(r0,c14,pair3);135:(r0,c33,pair3);235:(r0,c58,pair3);365:(r0,c91,pair1);411:(r0,c102,pair3);443:(r1,c2,pair3);463:(r1,c7,pair3);483:(r1,c12,pair3);487:(r1,c13,pair3);511:(r1,c19,pair3)",10,128,"(r0,c14);(r0,c33);(r0,c58);(r0,c91);(r0,c102);(r1,c2);(r1,c7);(r1,c12);(r1,c13);(r1,c19)"
arsenal/preview.jpg,50,65,19;23;35;39;43;47;55;59;71;83;107;111;123;127;131;135;143;155;159;163;171;183;191;195;199;203;211;219;231;235;243;247;255;259;283;287;307;311;315;319;323;327;339;343;347;351;355;359;363;411;431;435;439;443;447;455;463;471;475;479;483;487;499;503;511,"19:(r0,c4,pair3);23:(r0,c5,pair3);35:(r0,c8,pair3);39:(r0,c9,pair3);43:(r0,c10,pair3);47:(r0,c11,pair3);55:(r0,c13,pair3);59:(r0,c14,pair3);71:(r0,c17,pair3);83:(r0,c20,pair3);107:(r0,c26,pair3);111:(r0,c27,pair3);123:(r0,c30,pair3);127:(r0,c31,pair3);131:(r0,c32,pair3);135:(r0,c33,pair3);143:(r0,c35,pair3);155:(r0,c38,pair3);159:(r0,c39,pair3);163:(r0,c40,pair3);171:(r0,c42,pair3);183:(r0,c45,pair3);191:(r0,c47,pair3);195:(r0,c48,pair3);199:(r0,c49,pair3);203:(r0,c50,pair3);211:(r0,c52,pair3);219:(r0,c54,pair3);231:(r0,c57,pair3);235:(r0,c58,pair3);243:(r0,c60,pair3);247:(r0,c61,pair3);255:(r0,c63,pair3);259:(r0,c64,pair3);283:(r0,c70,pair3);287:(r0,c71,pair3);307:(r0,c76,pair3);311:(r0,c77,pair3);315:(r0,c78,pair3);319:(r0,c79,pair3);323:(r0,c80,pair3);327:(r0,c81,pair3);339:(r0,c84,pair3);343:(r0,c85,pair3);347:(r0,c86,pair3);351:(r0,c87,pair3);355:(r0,c88,pair3);359:(r0,c89,pair3);363:(r0,c90,pair3);411:(r0,c102,pair3);431:(r0,c107,pair3);435:(r1,c0,pair3);439:(r1,c1,pair3);443:(r1,c2,pair3);447:(r1,c3,pair3);455:(r1,c5,pair3);463:(r1,c7,pair3);471:(r1,c9,pair3);475:(r1,c10,pair3);479:(r1,c11,pair3);483:(r1,c12,pair3);487:(r1,c13,pair3);499:(r1,c16,pair3);503:(r1,c17,pair3);511:(r1,c19,pair3)",65,128,"(r0,c4);(r0,c5);(r0,c8);(r0,c9);(r0,c10);(r0,c11);(r0,c13);(r0,c14);(r0,c17);(r0,c20);(r0,c26);(r0,c27);(r0,c30);(r0,c31);(r0,c32);(r0,c33);(r0,c35);(r0,c38);(r0,c39);(r0,c40);(r0,c42);(r0,c45);(r0,c47);(r0,c48);(r0,c49);(r0,c50);(r0,c52);(r0,c54);(r0,c57);(r0,c58);(r0,c60);(r0,c61);(r0,c63);(r0,c64);(r0,c70);(r0,c71);(r0,c76);(r0,c77);(r0,c78);(r0,c79);(r0,c80);(r0,c81);(r0,c84);(r0,c85);(r0,c86);(r0,c87);(r0,c88);(r0,c89);(r0,c90);(r0,c102);(r0,c107);(r1,c0);(r1,c1);(r1,c2);(r1,c3);(r1,c5);(r1,c7);(r1,c9);(r1,c10);(r1,c11);(r1,c12);(r1,c13);(r1,c16);(r1,c17);(r1,c19)"
audiophile/preview.jpg,95,0,,,0,128,
audiophile/preview.jpg,90,0,,,0,128,
audiophile/preview.jpg,80,0,,,0,128,
audiophile/preview.jpg,70,0,,,0,128,
audiophile/preview.jpg,60,0,,,0,128,
audiophile/preview.jpg,50,0,,,0,128,
beach/preview.jpg,95,2,502;503,"502:(r0,c125,pair2);503:(r0,c125,pair3)",1,128,"(r0,c125)"
beach/preview.jpg,90,2,502;503,"502:(r0,c125,pair2);503:(r0,c125,pair3)",1,128,"(r0,c125)"
beach/preview.jpg,80,2,502;503,"502:(r0,c125,pair2);503:(r0,c125,pair3)",1,128,"(r0,c125)"
beach/preview.jpg,70,2,502;503,"502:(r0,c125,pair2);503:(r0,c125,pair3)",1,128,"(r0,c125)"
beach/preview.jpg,60,2,502;503,"502:(r0,c125,pair2);503:(r0,c125,pair3)",1,128,"(r0,c125)"
beach/preview.jpg,50,2,502;503,"502:(r0,c125,pair2);503:(r0,c125,pair3)",1,128,"(r0,c125)"
corsair_collection/dotted.fabeb454b273c6d2398a.jpg,95,0,,,0,128,
corsair_collection/dotted.fabeb454b273c6d2398a.jpg,90,0,,,0,128,
corsair_collection/dotted.fabeb454b273c6d2398a.jpg,80,0,,,0,128,
corsair_collection/dotted.fabeb454b273c6d2398a.jpg,70,0,,,0,128,
corsair_collection/dotted.fabeb454b273c6d2398a.jpg,60,0,,,0,128,
corsair_collection/dotted.fabeb454b273c6d2398a.jpg,50,0,,,0,128,
deep_space/preview.jpg,95,0,,,0,128,
deep_space/preview.jpg,90,0,,,0,128,
deep_space/preview.jpg,80,0,,,0,128,
deep_space/preview.jpg,70,0,,,0,128,
deep_space/preview.jpg,60,0,,,0,128,
deep_space/preview.jpg,50,0,,,0,128,
demon_core/preview.jpg,95,1,468,"468:(r0,c117,pair0)",1,128,"(r0,c117)"
demon_core/preview.jpg,90,1,468,"468:(r0,c117,pair0)",1,128,"(r0,c117)"
demon_core/preview.jpg,80,2,468;471,"468:(r0,c117,pair0);471:(r0,c117,pair3)",1,128,"(r0,c117)"
demon_core/preview.jpg,70,1,468,"468:(r0,c117,pair0)",1,128,"(r0,c117)"
demon_core/preview.jpg,60,12,145;165;177;225;249;277;293;301;365;397;468;471,"145:(r0,c36,pair1);165:(r0,c41,pair1);177:(r0,c44,pair1);225:(r0,c56,pair1);249:(r0,c62,pair1);277:(r0,c69,pair1);293:(r0,c73,pair1);301:(r0,c75,pair1);365:(r0,c91,pair1);397:(r0,c99,pair1);468:(r0,c117,pair0);471:(r0,c117,pair3)",11,128,"(r0,c36);(r0,c41);(r0,c44);(r0,c56);(r0,c62);(r0,c69);(r0,c73);(r0,c75);(r0,c91);(r0,c99);(r0,c117)"
demon_core/preview.jpg,50,4,165;177;468;471,"165:(r0,c41,pair1);177:(r0,c44,pair1);468:(r0,c117,pair0);471:(r0,c117,pair3)",3,128,"(r0,c41);(r0,c44);(r0,c117)"
dna_fragment/preview.jpg,95,0,,,0,128,
dna_fragment/preview.jpg,90,0,,,0,128,
dna_fragment/preview.jpg,80,0,,,0,128,
dna_fragment/preview.jpg,70,0,,,0,128,
dna_fragment/preview.jpg,60,0,,,0,128,
dna_fragment/preview.jpg,50,0,,,0,128,
eagleflag/preview.jpg,95,0,,,0,128,
eagleflag/preview.jpg,90,0,,,0,128,
eagleflag/preview.jpg,80,0,,,0,128,
eagleflag/preview.jpg,70,0,,,0,128,
eagleflag/preview.jpg,60,0,,,0,128,
eagleflag/preview.jpg,50,0,,,0,128,
fantasticcar/preview.jpg,95,0,,,0,128,
fantasticcar/preview.jpg,90,0,,,0,128,
fantasticcar/preview.jpg,80,0,,,0,128,
fantasticcar/preview.jpg,70,0,,,0,128,
fantasticcar/preview.jpg,60,0,,,0,128,
fantasticcar/preview.jpg,50,1,503,"503:(r0,c125,pair3)",1,128,"(r0,c125)"
neon_sunset/preview.jpg,95,0,,,0,128,
neon_sunset/preview.jpg,90,0,,,0,128,
neon_sunset/preview.jpg,80,0,,,0,128,
neon_sunset/preview.jpg,70,0,,,0,128,
neon_sunset/preview.jpg,60,0,,,0,128,
neon_sunset/preview.jpg,50,0,,,0,128,
retro/preview.jpg,95,0,,,0,128,
retro/preview.jpg,90,0,,,0,128,
retro/preview.jpg,80,0,,,0,128,
retro/preview.jpg,70,0,,,0,128,
retro/preview.jpg,60,0,,,0,128,
retro/preview.jpg,50,0,,,0,128,
ricepod/preview.jpg,95,0,,,0,128,
ricepod/preview.jpg,90,6,5;25;145;177;225;249,"5:(r0,c1,pair1);25:(r0,c6,pair1);145:(r0,c36,pair1);177:(r0,c44,pair1);225:(r0,c56,pair1);249:(r0,c62,pair1)",6,128,"(r0,c1);(r0,c6);(r0,c36);(r0,c44);(r0,c56);(r0,c62)"
ricepod/preview.jpg,80,0,,,0,128,
ricepod/preview.jpg,70,7,5;25;145;165;177;225;249,"5:(r0,c1,pair1);25:(r0,c6,pair1);145:(r0,c36,pair1);165:(r0,c41,pair1);177:(r0,c44,pair1);225:(r0,c56,pair1);249:(r0,c62,pair1)",7,128,"(r0,c1);(r0,c6);(r0,c36);(r0,c41);(r0,c44);(r0,c56);(r0,c62)"
